Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2/13/2018,Amazon,Amazon.com,5.9,debit,Shopping,CREDIT CARD,NA,NA
2/13/2018,Amazon,Amazon.com,24.8,debit,Shopping,CREDIT CARD,NA,NA
2/09/2018,Amazon,AmazonPrime Membership,108.41,debit,Shopping,CREDIT CARD,NA,NA
1/23/2018,Amazon,AMAZON MKTPLACE PMTS,66.87,debit,Shopping,CREDIT CARD,NA,NA
1/12/2018,Amazon,Amazon.com,27.15,debit,Shopping,CREDIT CARD,NA,NA
1/09/2018,Amazon,Amazon.com,16.91,debit,Shopping,CREDIT CARD,NA,NA
1/09/2018,Amazon,Amazon.com,7.11,debit,Shopping,CREDIT CARD,NA,NA
11/24/2017,Amazon,AMAZON MKTPLACE PMTS,22.73,debit,Shopping,CREDIT CARD,NA,NA
11/23/2017,Amazon,AMAZON MKTPLACE PMTS,10.94,debit,Shopping,CREDIT CARD,NA,NA
11/16/2017,Amazon,Amazon.com,41.36,debit,Shopping,CREDIT CARD,NA,NA
11/08/2017,Amazon,AMAZON MKTPLACE PMTS,43.42,debit,Shopping,CREDIT CARD,NA,NA
11/05/2017,Amazon,AMAZON MKTPLACE PMTS,42.38,debit,Shopping,CREDIT CARD,NA,NA
10/31/2017,Amazon,AMAZON MKTPLACE PMTS,41,debit,Shopping,CREDIT CARD,NA,NA
10/25/2017,Amazon,Amazon.com,19.69,debit,Shopping,CREDIT CARD,NA,NA
10/24/2017,Amazon,Amazon.com,44.88,debit,Shopping,CREDIT CARD,NA,NA
10/04/2017,Amazon,AMAZON MKTPLACE PMTS,28.41,debit,Shopping,CREDIT CARD,NA,NA
10/04/2017,Amazon,Amazon.com,24.09,debit,Shopping,CREDIT CARD,NA,NA
10/04/2017,Amazon,Amazon.com,15.59,debit,Shopping,CREDIT CARD,NA,NA
10/02/2017,Amazon,AMAZON MKTPLACE PMTS,16.39,debit,Shopping,CREDIT CARD,NA,NA
10/01/2017,Amazon,AMAZON MKTPLACE PMTS,16.99,debit,Shopping,CREDIT CARD,NA,NA
9/22/2017,Amazon,Amazon.com,17.7,debit,Shopping,CREDIT CARD,NA,NA
